1|sidemenu_trainer_home|Accoglienza
2|sidemenu_trainer_calendar|Il mio calendario
3|sidemenu_trainer_learners|I miei allievi
4|sidemenu_trainer_programs|Il mio percorso
5|sidemenu_trainer_lessons|I miei corsi
6|sidemenu_trainer_account|Il mio conto
7|sidemenu_trainer_library|Biblioteca
8|sidemenu_trainer_general|Generale
9|sidemenu_trainer_settings|Aggiustamenti
10|sidemenu_trainer_availabilities|Disponibilità
11|sidemenu_trainer_awaiting|Nuovo
12|sidemenu_trainer_active|In corso
13|sidemenu_trainer_inactive|Conclusi
14|sidemenu_trainer_anomaly|Anomalia
15|sidemenu_learner_home|Accoglienza
16|sidemenu_learner_formation|La mia formazione
17|sidemenu_learner_eval|I miei test
18|sidemenu_learner_trainers|I miei formatori
19|sidemenu_learner_library|La mia biblioteca
20|sidemenu_learner_account|Il mio conto
21|sidemenu_learner_calendar|Il mio calendario
22|sidemenu_learner_reservation|Prenotazioni
23|sidemenu_learner_global|Visione globale
24|sidemenu_learner_report|I miei rapporti
25|sidemenu_learner_tp|Il mio percorso
26|sidemenu_learner_materials|Materiali
27|sidemenu_learner_exercise|Esercizi
28|sidemenu_learner_email_template|Modelli di mail
29|sidemenu_learner_video|Tutorials
30|sidemenu_learner_signature|Firma
31|sidemenu_learner_myeprogram|Il mio programma on line
32|sidemenu_learner_visio_f2f_tp|Percorso in videoconferenza / F2 Training
33|sidemenu_learner_visio_library|Videobiblioteca
34|sidemenu_learner_my_trainer|Il mio formatore
35|sidemenu_learner_my_trainers|I miei formatori
36|sidemenu_learner_wait_signature|Attesa firma
37|sidemenu_learner_tests|Prove / Valutazioni
38|sidemenu_learner_media_library|Mediateca
39|sidemenu_learner_toolbox|Strumenti
40|sidemenu_learner_vocab_list|Liste vocaboli
41|sidemenu_learner_vocab_list_perso|La mia lista
42|sidemenu_learner_activity_report|Rapporto di attività
43|sidemenu_learner_mock_tests|Esami bianchi
44|sidemenu_learner_vocab|Vocabolario
45|sidemenu_learner_vocab_theme|Tematiche
46|sidemenu_tm_activity|Attività
47|sidemenu_tm_orders|Dossiers formazione
48|sidemenu_tm_reports|Rapporti
