ID Question|Part|Instructions|Question|Content|Question time|Answer|Is correct|Answer type|Answer gain|
1|Part 1|Look at the picture marked number 1 and answer the question.|01_TOEIC_05_Questions_1.mp3|TOEIC_05_pic1.jpg|NA|A|1|radio|5|
||||||B|0|radio|0|
||||||C|0|radio|0|
||||||D|0|radio|0|
2|Part 1|Look at the picture marked number 2 and answer the question.|02_TOEIC_05_Questions_2.mp3|TOEIC_05_pic2.jpg|NA|A|0|radio|0|
||||||B|0|radio|0|
||||||C|0|radio|0|
||||||D|1|radio|5|
3|Part 1|Look at the picture marked number 3 and answer the question.|03_TOEIC_05_Questions_3.mp3|TOEIC_05_pic3.jpg|NA|A|0|radio|0|
||||||B|1|radio|5|
||||||C|0|radio|0|
||||||D|0|radio|0|
4|Part 1|Look at the picture marked number 4 and answer the question.|04_TOEIC_05_Questions_4.mp3|TOEIC_05_pic4.jpg|NA|A|0|radio|0|
||||||B|1|radio|5|
||||||C|0|radio|0|
||||||D|0|radio|0|
5|Part 1|Look at the picture marked number 5 and answer the question.|05_TOEIC_05_Questions_5.mp3|TOEIC_05_pic5.jpg|NA|A|0|radio|0|
||||||B|0|radio|0|
||||||C|1|radio|5|
||||||D|0|radio|0|
6|Part 1|Look at the picture marked number 6 and answer the question.|06_TOEIC_05_Questions_6.mp3|TOEIC_05_pic6.jpg|NA|A|1|radio|5|
||||||B|0|radio|0|
||||||C|0|radio|0|
||||||D|0|radio|0|
7|Part 1|Look at the picture marked number 7 and answer the question.|07_TOEIC_05_Questions_7.mp3|TOEIC_05_pic7.jpg|NA|A|0|radio|0|
||||||B|0|radio|0|
||||||C|0|radio|0|
||||||D|1|radio|5|
8|Part 1|Look at the picture marked number 8 and answer the question.|08_TOEIC_05_Questions_8.mp3|TOEIC_05_pic8.jpg|NA|A|0|radio|0|
||||||B|0|radio|0|
||||||C|1|radio|5|
||||||D|0|radio|0|
9|Part 1|Look at the picture marked number 9 and answer the question.|09_TOEIC_05_Questions_9.mp3|TOEIC_05_pic9.jpg|NA|A|0|radio|0|
||||||B|1|radio|5|
||||||C|0|radio|0|
||||||D|0|radio|0|
10|Part 1|Look at the picture marked number 10 and answer the question.|10_TOEIC_05_Questions_10.mp3|TOEIC_05_pic10.jpg|NA|A|0|radio|0|
||||||B|1|radio|5|
||||||C|0|radio|0|
||||||D|0|radio|0|
11|Part 2|Listen to the question and choose the correct answer.|February Part 2 - Questions 11 - 13.mp3||NA|A|0|radio|0|
||||||B|1|radio|6|
||||||C|0|radio|0|
12|Part 2|Listen to the question and choose the correct answer.|February Part 2 - Questions 11 - 13.mp3||NA|A|1|radio|6|
||||||B|0|radio|0|
||||||C|0|radio|0|
13|Part 2|Listen to the question and choose the correct answer.|February Part 2 - Questions 11 - 13.mp3||NA|A|0|radio|0|
||||||B|0|radio|0|
||||||C|1|radio|6|
14|Part 2|Listen to the question and choose the correct answer.|February Part 2 - Questions 14 - 16.mp3||NA|A|0|radio|0|
||||||B|0|radio|0|
||||||C|1|radio|6|
15|Part 2|Listen to the question and choose the correct answer.|February Part 2 - Questions 14 - 16.mp3||NA|A|0|radio|0|
||||||B|0|radio|0|
||||||C|1|radio|6|
16|Part 2|Listen to the question and choose the correct answer.|February Part 2 - Questions 14 - 16.mp3||NA|A|0|radio|0|
||||||B|0|radio|0|
||||||C|1|radio|6|
17|Part 2|Listen to the question and choose the correct answer.|February Part 2 - Questions 17 - 19.mp3||NA|A|1|radio|6|
||||||B|0|radio|0|
||||||C|0|radio|0|
18|Part 2|Listen to the question and choose the correct answer.|February Part 2 - Questions 17 - 19.mp3||NA|A|1|radio|6|
||||||B|0|radio|0|
||||||C|0|radio|0|
19|Part 2|Listen to the question and choose the correct answer.|February Part 2 - Questions 17 - 19.mp3||NA|A|0|radio|0|
||||||B|0|radio|0|
||||||C|1|radio|6|
20|Part 2|Listen to the question and choose the correct answer.|February Part 2 - Questions 20 - 22.mp3||NA|A|0|radio|0|
||||||B|1|radio|6|
||||||C|0|radio|0|
21|Part 2|Listen to the question and choose the correct answer.|February Part 2 - Questions 20 - 22.mp3||NA|A|1|radio|6|
||||||B|0|radio|0|
||||||C|0|radio|0|
22|Part 2|Listen to the question and choose the correct answer.|February Part 2 - Questions 20 - 22.mp3||NA|A|0|radio|0|
||||||B|0|radio|0|
||||||C|1|radio|6|
23|Part 2|Listen to the question and choose the correct answer.|February Part 2 - Questions 23 - 25.mp3||NA|A|1|radio|6|
||||||B|0|radio|0|
||||||C|0|radio|0|
24|Part 2|Listen to the question and choose the correct answer.|February Part 2 - Questions 23 - 25.mp3||NA|A|0|radio|0|
||||||B|1|radio|6|
||||||C|0|radio|0|
25|Part 2|Listen to the question and choose the correct answer.|February Part 2 - Questions 23 - 25.mp3||NA|A|0|radio|0|
||||||B|1|radio|6|
||||||C|0|radio|0|
26|Part 2|Listen to the question and choose the correct answer.|February Part 2 - Questions 26 - 28.mp3||NA|A|1|radio|6|
||||||B|0|radio|0|
||||||C|0|radio|0|
27|Part 2|Listen to the question and choose the correct answer.|February Part 2 - Questions 26 - 28.mp3||NA|A|1|radio|6|
||||||B|0|radio|0|
||||||C|0|radio|0|
