ID Question|Part|Instructions|Question|Content|Question time|Answer|Is correct|Answer type|Answer gain|
1|Part 1|Look at the picture marked number 1 and answer the question.|01_TOEIC_02_Questions_1.mp3|TOEIC_02_pic1.jpg|NA|A|1|radio|5|
||||||B|0|radio|0|
||||||C|0|radio|0|
||||||D|0|radio|0|
2|Part 1|Look at the picture marked number 2 and answer the question.|02_TOEIC_02_Questions_2.mp3|TOEIC_02_pic2.jpg|NA|A|0|radio|0|
||||||B|0|radio|0|
||||||C|1|radio|5|
||||||D|0|radio|0|
3|Part 1|Look at the picture marked number 3 and answer the question.|03_TOEIC_02_Questions_3.mp3|TOEIC_02_pic3.jpg|NA|A|0|radio|0|
||||||B|0|radio|0|
||||||C|0|radio|0|
||||||D|1|radio|5|
4|Part 1|Look at the picture marked number 4 and answer the question.|04_TOEIC_02_Questions_4.mp3|TOEIC_02_pic4.jpg|NA|A|0|radio|0|
||||||B|1|radio|5|
||||||C|0|radio|0|
||||||D|0|radio|0|
5|Part 1|Look at the picture marked number 5 and answer the question.|05_TOEIC_02_Questions_5.mp3|TOEIC_02_pic5.jpg|NA|A|0|radio|0|
||||||B|0|radio|0|
||||||C|1|radio|5|
||||||D|0|radio|0|
6|Part 1|Look at the picture marked number 6 and answer the question.|06_TOEIC_02_Questions_6.mp3|TOEIC_02_pic6.jpg|NA|A|1|radio|5|
||||||B|0|radio|0|
||||||C|0|radio|0|
||||||D|0|radio|0|
7|Part 1|Look at the picture marked number 7 and answer the question.|07_TOEIC_02_Questions_7.mp3|TOEIC_02_pic7.jpg|NA|A|0|radio|0|
||||||B|0|radio|0|
||||||C|1|radio|5|
||||||D|0|radio|0|
8|Part 1|Look at the picture marked number 8 and answer the question.|08_TOEIC_02_Questions_8.mp3|TOEIC_02_pic8.jpg|NA|A|0|radio|0|
||||||B|1|radio|5|
||||||C|0|radio|0|
||||||D|0|radio|0|
9|Part 1|Look at the picture marked number 9 and answer the question.|09_TOEIC_02_Questions_9.mp3|TOEIC_02_pic9.jpg|NA|A|0|radio|0|
||||||B|0|radio|0|
||||||C|0|radio|0|
||||||D|1|radio|5|
10|Part 1|Look at the picture marked number 10 and answer the question.|10_TOEIC_02_Questions_10.mp3|TOEIC_02_pic10.jpg|NA|A|1|radio|5|
||||||B|0|radio|0|
||||||C|0|radio|0|
||||||D|0|radio|0|
11|Part 2|Listen to the question and choose the correct answer.|11_TOEIC_02_Questions_11-13.mp3||NA|A|0|radio|0|
||||||B|0|radio|0|
||||||C|1|radio|6|
12|Part 2|Listen to the question and choose the correct answer.|11_TOEIC_02_Questions_11-13.mp3||NA|A|1|radio|6|
||||||B|0|radio|0|
||||||C|0|radio|0|
13|Part 2|Listen to the question and choose the correct answer.|11_TOEIC_02_Questions_11-13.mp3||NA|A|0|radio|0|
||||||B|0|radio|0|
||||||C|1|radio|6|
14|Part 2|Listen to the question and choose the correct answer.|12_TOEIC_02_Questions_14-16.mp3||NA|A|0|radio|0|
||||||B|1|radio|6|
||||||C|0|radio|0|
15|Part 2|Listen to the question and choose the correct answer.|12_TOEIC_02_Questions_14-16.mp3||NA|A|0|radio|0|
||||||B|1|radio|6|
||||||C|0|radio|0|
16|Part 2|Listen to the question and choose the correct answer.|12_TOEIC_02_Questions_14-16.mp3||NA|A|1|radio|6|
||||||B|0|radio|0|
||||||C|0|radio|0|
17|Part 2|Listen to the question and choose the correct answer.|13_TOEIC_02_Questions_17-19.mp3||NA|A|0|radio|0|
||||||B|0|radio|0|
||||||C|1|radio|6|
18|Part 2|Listen to the question and choose the correct answer.|13_TOEIC_02_Questions_17-19.mp3||NA|A|1|radio|6|
||||||B|0|radio|0|
||||||C|0|radio|0|
19|Part 2|Listen to the question and choose the correct answer.|13_TOEIC_02_Questions_17-19.mp3||NA|A|1|radio|6|
||||||B|0|radio|0|
||||||C|0|radio|0|
20|Part 2|Listen to the question and choose the correct answer.|14_TOEIC_02_Questions_20-22.mp3||NA|A|0|radio|0|
||||||B|1|radio|6|
||||||C|0|radio|0|
21|Part 2|Listen to the question and choose the correct answer.|14_TOEIC_02_Questions_20-22.mp3||NA|A|0|radio|0|
||||||B|0|radio|0|
||||||C|1|radio|6|
22|Part 2|Listen to the question and choose the correct answer.|14_TOEIC_02_Questions_20-22.mp3||NA|A|0|radio|0|
||||||B|1|radio|6|
||||||C|0|radio|0|
23|Part 2|Listen to the question and choose the correct answer.|15_TOEIC_02_Questions_23-25.mp3||NA|A|1|radio|6|
||||||B|0|radio|0|
||||||C|0|radio|0|
24|Part 2|Listen to the question and choose the correct answer.|15_TOEIC_02_Questions_23-25.mp3||NA|A|0|radio|0|
||||||B|0|radio|0|
||||||C|1|radio|6|
25|Part 2|Listen to the question and choose the correct answer.|15_TOEIC_02_Questions_23-25.mp3||NA|A|0|radio|0|
||||||B|1|radio|6|
||||||C|0|radio|0|
26|Part 2|Listen to the question and choose the correct answer.|16_TOEIC_02_Questions_26-28.mp3||NA|A|0|radio|0|
||||||B|0|radio|0|
||||||C|1|radio|6|
27|Part 2|Listen to the question and choose the correct answer.|16_TOEIC_02_Questions_26-28.mp3||NA|A|0|radio|0|
||||||B|1|radio|6|
||||||C|0|radio|0|
28|Part 2|Listen to the question and choose the correct answer.|16_TOEIC_02_Questions_26-28.mp3||NA|A|0|radio|0|
||||||B|1|radio|6|
||||||C|0|radio|0|
29|Part 2|Listen to the question and choose the correct answer.|17_TOEIC_02_Questions_29-31.mp3||NA|A|1|radio|6|
||||||B|0|radio|0|
||||||C|0|radio|0|
30|Part 2|Listen to the question and choose the correct answer.|17_TOEIC_02_Questions_29-31.mp3||NA|A|0|radio|0|
||||||B|0|radio|0|
||||||C|1|radio|6|
31|Part 2|Listen to the question and choose the correct answer.|17_TOEIC_02_Questions_29-31.mp3||NA|A|0|radio|0|
||||||B|1|radio|6|
||||||C|0|radio|0|
32|Part 2|Listen to the question and choose the correct answer.|18_TOEIC_02_Questions_32-34.mp3||NA|A|1|radio|6|
||||||B|0|radio|0|
||||||C|0|radio|0|
33|Part 2|Listen to the question and choose the correct answer.|18_TOEIC_02_Questions_32-34.mp3||NA|A|0|radio|0|
||||||B|1|radio|6|
||||||C|0|radio|0|
34|Part 2|Listen to the question and choose the correct answer.|18_TOEIC_02_Questions_32-34.mp3||NA|A|0|radio|0|
||||||B|0|radio|0|
||||||C|1|radio|6|
35|Part 2|Listen to the question and choose the correct answer.|19_TOEIC_02_Questions_35-37.mp3||NA|A|1|radio|6|
||||||B|0|radio|0|
||||||C|0|radio|0|
36|Part 2|Listen to the question and choose the correct answer.|19_TOEIC_02_Questions_35-37.mp3||NA|A|0|radio|0|
||||||B|1|radio|6|
||||||C|0|radio|0|
37|Part 2|Listen to the question and choose the correct answer.|19_TOEIC_02_Questions_35-37.mp3||NA|A|0|radio|0|
||||||B|1|radio|6|
||||||C|0|radio|0|
38|Part 2|Listen to the question and choose the correct answer.|20_TOEIC_02_Questions_38-40.mp3||NA|A|1|radio|6|
||||||B|0|radio|0|
||||||C|0|radio|0|
39|Part 2|Listen to the question and choose the correct answer.|20_TOEIC_02_Questions_38-40.mp3||NA|A|0|radio|0|
||||||B|0|radio|0|
||||||C|1|radio|6|
40|Part 2|Listen to the question and choose the correct answer.|20_TOEIC_02_Questions_38-40.mp3||NA|A|0|radio|0|
||||||B|1|radio|6|
||||||C|0|radio|0|
41|Part 3|Listen to the following conversation.|What are the speakers discussing?|21_TOEIC_02_Questions_41-43.mp3|NA|(A) An employment decision|1|radio|6|
||||||(B) Managing styles|0|radio|0|
||||||(C) Salary increases|0|radio|0|
||||||(D) Work titles|0|radio|0|
42|Part 3|Listen to the following conversation.|What does the man say about applying for manager?|21_TOEIC_02_Questions_41-43.mp3|NA|(A) He wants more responsibility.|0|radio|0|
||||||(B) He doesn't have enough experience.|0|radio|0|
||||||(C) He has not yet decided.|1|radio|6|
||||||(D) He will not apply for the job.|0|radio|0|
43|Part 3|Listen to the following conversation.|What does the woman think of the man?|21_TOEIC_02_Questions_41-43.mp3|NA|(A) She has confidence in him.|1|radio|6|
||||||(B) He is too inexperienced.|0|radio|0|
||||||(C) He should not apply.|0|radio|0|
||||||(D) She thinks he is irresponsible.|0|radio|0|
44|Part 3|Listen to the following conversation.|What are the speakers talking about?|22_TOEIC_02_Questions_44-46.mp3|NA|(A) Mexico|0|radio|0|
||||||(B) A restaurant|1|radio|6|
||||||(C) A bar|0|radio|0|
||||||(D) A supermarket|0|radio|0|
45|Part 3|Listen to the following conversation.|What does the man ask the woman for?|22_TOEIC_02_Questions_44-46.mp3|NA|(A) A loan|0|radio|0|
||||||(B) A favor|0|radio|0|
||||||(C) A referral|0|radio|0|
||||||(D) A recommendation|1|radio|6|
46|Part 3|Listen to the following conversation.|What does the woman think of the enchiladas?|22_TOEIC_02_Questions_44-46.mp3|NA|(A) They are overpriced.|0|radio|0|
||||||(B) They taste very good.|1|radio|6|
||||||(C) She didn't like them.|0|radio|0|
||||||(D) They were OK.|0|radio|0|
47|Part 3|Listen to the following conversation.|Why is the woman calling the man?|23_TOEIC_02_Questions_47-49.mp3|NA|(A) To thank him for his order|0|radio|0|
||||||(B) To request payment|0|radio|0|
||||||(C) To report a delay|1|radio|6|
||||||(D) To apologize for a mistake|0|radio|0|
48|Part 3|Listen to the following conversation.|What problem does the man have?|23_TOEIC_02_Questions_47-49.mp3|NA|(A) A lost order|0|radio|0|
||||||(B) A faulty welding machine|1|radio|6|
||||||(C) Lack of funding|0|radio|0|
||||||(D) A broken charger|0|radio|0|
