ID Question|Part|Instructions|Question|Content|Question time|Answer|Is correct|Answer type|Answer gain|
1|Part 1|Look at the picture marked number 1 and answer the question.|01_TOEIC_03_Questions_1.mp3|TOEIC_03_pic1.jpg|NA|A|0|radio|0|
||||||B|1|radio|5|
||||||C|0|radio|0|
||||||D|0|radio|0|
2|Part 1|Look at the picture marked number 2 and answer the question.|02_TOEIC_03_Questions_2.mp3|TOEIC_03_pic2.jpg|NA|A|0|radio|0|
||||||B|0|radio|0|
||||||C|1|radio|5|
||||||D|0|radio|0|
3|Part 1|Look at the picture marked number 3 and answer the question.|03_TOEIC_03_Questions_3.mp3|TOEIC_03_pic3.jpg|NA|A|1|radio|5|
||||||B|0|radio|0|
||||||C|0|radio|0|
||||||D|0|radio|0|
4|Part 1|Look at the picture marked number 4 and answer the question.|04_TOEIC_03_Questions_4.mp3|TOEIC_03_pic4.jpg|NA|A|0|radio|0|
||||||B|0|radio|0|
||||||C|0|radio|0|
||||||D|1|radio|5|
5|Part 1|Look at the picture marked number 5 and answer the question.|05_TOEIC_03_Questions_5.mp3|TOEIC_03_pic5.jpg|NA|A|1|radio|5|
||||||B|0|radio|0|
||||||C|0|radio|0|
||||||D|0|radio|0|
6|Part 1|Look at the picture marked number 6 and answer the question.|06_TOEIC_03_Questions_6.mp3|TOEIC_03_pic6.jpg|NA|A|0|radio|0|
||||||B|1|radio|5|
||||||C|0|radio|0|
||||||D|0|radio|0|
7|Part 1|Look at the picture marked number 7 and answer the question.|07_TOEIC_03_Questions_7.mp3|TOEIC_03_pic7.jpg|NA|A|0|radio|0|
||||||B|0|radio|0|
||||||C|1|radio|5|
||||||D|0|radio|0|
8|Part 1|Look at the picture marked number 8 and answer the question.|08_TOEIC_03_Questions_8.mp3|TOEIC_03_pic8.jpg|NA|A|0|radio|0|
||||||B|0|radio|0|
||||||C|1|radio|5|
||||||D|0|radio|0|
9|Part 1|Look at the picture marked number 9 and answer the question.|09_TOEIC_03_Questions_9.mp3|TOEIC_03_pic9.jpg|NA|A|0|radio|0|
||||||B|1|radio|5|
||||||C|0|radio|0|
||||||D|0|radio|0|
10|Part 1|Look at the picture marked number 10 and answer the question.|10_TOEIC_03_Questions_10.mp3|TOEIC_03_pic10.jpg|NA|A|0|radio|0|
||||||B|0|radio|0|
||||||C|0|radio|0|
||||||D|1|radio|5|
11|Part 2|Listen to the question and choose the correct answer.|11_TOEIC_03_Questions_11-13.mp3||NA|A|1|radio|6|
||||||B|0|radio|0|
||||||C|0|radio|0|
12|Part 2|Listen to the question and choose the correct answer.|11_TOEIC_03_Questions_11-13.mp3||NA|A|0|radio|0|
||||||B|1|radio|6|
||||||C|0|radio|0|
13|Part 2|Listen to the question and choose the correct answer.|11_TOEIC_03_Questions_11-13.mp3||NA|A|0|radio|0|
||||||B|1|radio|6|
||||||C|0|radio|0|
14|Part 2|Listen to the question and choose the correct answer.|12_TOEIC_03_Questions_14-16.mp3||NA|A|1|radio|6|
||||||B|0|radio|0|
||||||C|0|radio|0|
15|Part 2|Listen to the question and choose the correct answer.|12_TOEIC_03_Questions_14-16.mp3||NA|A|0|radio|0|
||||||B|0|radio|0|
||||||C|1|radio|6|
16|Part 2|Listen to the question and choose the correct answer.|12_TOEIC_03_Questions_14-16.mp3||NA|A|1|radio|6|
||||||B|0|radio|0|
||||||C|0|radio|0|
17|Part 2|Listen to the question and choose the correct answer.|13_TOEIC_03_Questions_17-19.mp3||NA|A|0|radio|0|
||||||B|1|radio|6|
||||||C|0|radio|0|
18|Part 2|Listen to the question and choose the correct answer.|13_TOEIC_03_Questions_17-19.mp3||NA|A|0|radio|0|
||||||B|0|radio|0|
||||||C|1|radio|6|
19|Part 2|Listen to the question and choose the correct answer.|13_TOEIC_03_Questions_17-19.mp3||NA|A|0|radio|0|
||||||B|0|radio|0|
||||||C|1|radio|6|
20|Part 2|Listen to the question and choose the correct answer.|14_TOEIC_03_Questions_20-22.mp3||NA|A|1|radio|6|
||||||B|0|radio|0|
||||||C|0|radio|0|
21|Part 2|Listen to the question and choose the correct answer.|14_TOEIC_03_Questions_20-22.mp3||NA|A|0|radio|0|
||||||B|1|radio|6|
||||||C|0|radio|0|
22|Part 2|Listen to the question and choose the correct answer.|14_TOEIC_03_Questions_20-22.mp3||NA|A|0|radio|0|
||||||B|1|radio|6|
||||||C|0|radio|0|
23|Part 2|Listen to the question and choose the correct answer.|15_TOEIC_03_Questions_23-25.mp3||NA|A|0|radio|0|
||||||B|0|radio|0|
||||||C|1|radio|6|
24|Part 2|Listen to the question and choose the correct answer.|15_TOEIC_03_Questions_23-25.mp3||NA|A|0|radio|0|
||||||B|1|radio|6|
||||||C|0|radio|0|
25|Part 2|Listen to the question and choose the correct answer.|15_TOEIC_03_Questions_23-25.mp3||NA|A|1|radio|6|
||||||B|0|radio|0|
||||||C|0|radio|0|
26|Part 2|Listen to the question and choose the correct answer.|16_TOEIC_03_Questions_26-28.mp3||NA|A|0|radio|0|
||||||B|0|radio|0|
||||||C|1|radio|6|
27|Part 2|Listen to the question and choose the correct answer.|16_TOEIC_03_Questions_26-28.mp3||NA|A|0|radio|0|
||||||B|1|radio|6|
||||||C|0|radio|0|
28|Part 2|Listen to the question and choose the correct answer.|16_TOEIC_03_Questions_26-28.mp3||NA|A|0|radio|0|
||||||B|0|radio|0|
||||||C|1|radio|6|
29|Part 2|Listen to the question and choose the correct answer.|17_TOEIC_03_Questions_29-31.mp3||NA|A|0|radio|0|
||||||B|1|radio|6|
||||||C|0|radio|0|
30|Part 2|Listen to the question and choose the correct answer.|17_TOEIC_03_Questions_29-31.mp3||NA|A|1|radio|6|
||||||B|0|radio|0|
||||||C|0|radio|0|
31|Part 2|Listen to the question and choose the correct answer.|17_TOEIC_03_Questions_29-31.mp3||NA|A|0|radio|0|
||||||B|1|radio|6|
||||||C|0|radio|0|
32|Part 2|Listen to the question and choose the correct answer.|18_TOEIC_03_Questions_32-34.mp3||NA|A|1|radio|6|
||||||B|0|radio|0|
||||||C|0|radio|0|
33|Part 2|Listen to the question and choose the correct answer.|18_TOEIC_03_Questions_32-34.mp3||NA|A|0|radio|0|
||||||B|0|radio|0|
||||||C|1|radio|6|
34|Part 2|Listen to the question and choose the correct answer.|18_TOEIC_03_Questions_32-34.mp3||NA|A|0|radio|0|
||||||B|0|radio|0|
||||||C|1|radio|6|
35|Part 2|Listen to the question and choose the correct answer.|19_TOEIC_03_Questions_35-37.mp3||NA|A|0|radio|0|
||||||B|1|radio|6|
||||||C|0|radio|0|
36|Part 2|Listen to the question and choose the correct answer.|19_TOEIC_03_Questions_35-37.mp3||NA|A|1|radio|6|
||||||B|0|radio|0|
||||||C|0|radio|0|
37|Part 2|Listen to the question and choose the correct answer.|19_TOEIC_03_Questions_35-37.mp3||NA|A|1|radio|6|
||||||B|0|radio|0|
||||||C|0|radio|0|
38|Part 2|Listen to the question and choose the correct answer.|20_TOEIC_03_Questions_38-40.mp3||NA|A|0|radio|0|
||||||B|0|radio|0|
||||||C|1|radio|6|
39|Part 2|Listen to the question and choose the correct answer.|20_TOEIC_03_Questions_38-40.mp3||NA|A|0|radio|0|
||||||B|1|radio|6|
||||||C|0|radio|0|
40|Part 2|Listen to the question and choose the correct answer.|20_TOEIC_03_Questions_38-40.mp3||NA|A|1|radio|6|
||||||B|0|radio|0|
||||||C|0|radio|0|
41|Part 3|Listen to the following conversation.|Where is this conversation most likely taking place?|21_TOEIC_03_Questions_41-43.mp3|NA|(A) In an office|0|radio|0|
||||||(B) In a restaurant|1|radio|6|
||||||(C) In a gymnasium|0|radio|0|
||||||(D) In a grocery store|0|radio|0|
42|Part 3|Listen to the following conversation.|What does the woman ask the man about his steak?|21_TOEIC_03_Questions_41-43.mp3|NA|(A) What kind he wants|0|radio|0|
||||||(B) How much it costs|0|radio|0|
||||||(C) How he wants it cooked|1|radio|6|
||||||(D) When she should serve it|0|radio|0|
43|Part 3|Listen to the following conversation.|What will the man probably say next?|21_TOEIC_03_Questions_41-43.mp3|NA|(A) Ranch, please.|1|radio|6|
||||||(B) No thank you.|0|radio|0|
||||||(C) That would be fine.|0|radio|0|
||||||(D) A blue dress.|0|radio|0|
44|Part 3|Listen to the following conversation.|What position does the man probably hold?|22_TOEIC_03_Questions_44-46.mp3|NA|(A) Busboy|0|radio|0|
||||||(B) Cashier|1|radio|6|
||||||(C) Doorkeeper|0|radio|0|
||||||(D) Accountant|0|radio|0|
45|Part 3|Listen to the following conversation.|What mistake did the man make?|22_TOEIC_03_Questions_44-46.mp3|NA|(A) He charged the woman the wrong price.|0|radio|0|
||||||(B) He sold the woman the wrong product.|0|radio|0|
||||||(C) He asked the woman the wrong question.|0|radio|0|
||||||(D) He gave the woman the wrong change.|1|radio|6|
46|Part 3|Listen to the following conversation.|What does the woman ask the man to do?|22_TOEIC_03_Questions_44-46.mp3|NA|(A) Give her four quarters for a dollar.|0|radio|0|
||||||(B) Charge her an extra $10.|0|radio|0|
||||||(C) Make change for a $10 bill.|1|radio|6|
||||||(D) Sell her $10 worth of groceries.|0|radio|0|
47|Part 3|Listen to the following conversation.|What does the man ask Jean about?|23_TOEIC_03_Questions_47-49.mp3|NA|(A) Business cards|1|radio|6|
||||||(B) Work orders|0|radio|0|
||||||(C) Project reports|0|radio|0|
||||||(D) Changing jobs|0|radio|0|
48|Part 3|Listen to the following conversation.|Why does the man tell Jean to wait?|23_TOEIC_03_Questions_47-49.mp3|NA|(A) The company's address might change.|1|radio|6|
||||||(B) Business cards cost too much money.|0|radio|0|
||||||(C) Raymond told Stephen about a mistake.|0|radio|0|
||||||(D) She is likely to be promoted to manager.|0|radio|0|
49|Part 3|Listen to the following conversation.|How does the woman feel about the news the man tells her?|23_TOEIC_03_Questions_47-49.mp3|NA|(A) Angry|0|radio|0|
||||||(B) Floored|0|radio|0|
||||||(C) Surprised|1|radio|6|
||||||(D) Encouraged|0|radio|0|
50|Part 3|Listen to the following conversation.|Who is the woman?|24_TOEIC_03_Questions_50-52.mp3|NA|(A) An architect|0|radio|0|
||||||(B) A landlord|0|radio|0|
||||||(C) A realtor|1|radio|6|
||||||(D) An insurance agent|0|radio|0|
51|Part 3|Listen to the following conversation.|What are the speakers talking about?|24_TOEIC_03_Questions_50-52.mp3|NA|(A) A condominium|0|radio|0|
||||||(B) An apartment|0|radio|0|
||||||(C) An office building|0|radio|0|
||||||(D) A house|1|radio|6|
52|Part 3|Listen to the following conversation.|What does the man want to do?|24_TOEIC_03_Questions_50-52.mp3|NA|(A) View the home online|0|radio|0|
||||||(B) Buy the home|0|radio|0|
||||||(C) Visit the home|1|radio|6|
||||||(D) Take pictures|0|radio|0|
53|Part 3|Listen to the following conversation.|What are the speakers mainly discussing?|25_TOEIC_03_Questions_53-55.mp3|NA|(A) Painting estimates|1|radio|6|
||||||(B) Budgeting concerns|0|radio|0|
||||||(C) Starting times|0|radio|0|
||||||(D) Contract terms|0|radio|0|
54|Part 3|Listen to the following conversation.|What does the woman say about Paint Pros?|25_TOEIC_03_Questions_53-55.mp3|NA|(A) They are unreliable.|0|radio|0|
||||||(B) They have high quality.|1|radio|6|
||||||(C) They charge the lowest price.|0|radio|0|
||||||(D) They cannot start immediately.|0|radio|0|
55|Part 3|Listen to the following conversation.|What does the woman offer to do?|25_TOEIC_03_Questions_53-55.mp3|NA|(A) Negotiate a lower price|0|radio|0|
||||||(B) Confirm a starting date|0|radio|0|
||||||(C) Adjust the budget|0|radio|0|
||||||(D) Respond to all the bidders|1|radio|6|
56|Part 3|Listen to the following conversation.|Where is this conversation most likely taking place?|26_TOEIC_03_Questions_56-58.mp3|NA|(A) At a university|0|radio|0|
||||||(B) At a convention|0|radio|0|
||||||(C) In an office|1|radio|6|
||||||(D) In a supermarket|0|radio|0|
57|Part 3|Listen to the following conversation.|What does Katie want the man to do?|26_TOEIC_03_Questions_56-58.mp3|NA|(A) Interrupt Brad's meeting.|0|radio|0|
||||||(B) Call Jasmine|0|radio|0|
||||||(C) Give Brad a message|1|radio|6|
||||||(D) Correct two invoices|0|radio|0|
58|Part 3|Listen to the following conversation.|What is NOT true?|26_TOEIC_03_Questions_56-58.mp3|NA|(A) Katie works in accounting.|0|radio|0|
||||||(B) Brad will be free at 11 o'clock.|1|radio|6|
||||||(C) Brad is in a meeting.|0|radio|0|
||||||(D) The man will tell Brad that Katie called.|0|radio|0|
59|Part 3|Listen to the following conversation.|What does the man ask Bridget to do?|27_TOEIC_03_Questions_59-61.mp3|NA|(A) Read a catalogue|0|radio|0|
||||||(B) Create mock pages|0|radio|0|
||||||(C) Buy some T-shirts|0|radio|0|
||||||(D) Check for errors|1|radio|6|
60|Part 3|Listen to the following conversation.|Why can't Bridget help immediately?|27_TOEIC_03_Questions_59-61.mp3|NA|(A) She has to finish another task.|1|radio|6|
||||||(B) She needs to make a phone call.|0|radio|0|
||||||(C) She is making some copies.|0|radio|0|
||||||(D) She is pricing T-shirts.|0|radio|0|
61|Part 3|Listen to the following conversation.|Where do the speakers most likely work?|27_TOEIC_03_Questions_59-61.mp3|NA|(A) At a newspaper|0|radio|0|
||||||(B) At a clothing company|1|radio|6|
||||||(C) At a supermarket|0|radio|0|
||||||(D) At an insurance firm|0|radio|0|
62|Part 3|Listen to the following conversation.|Why is the woman calling the man?|28_TOEIC_03_Questions_62-64.mp3|NA|(A) To buy a dishwasher|0|radio|0|
||||||(B) To report a problem|1|radio|6|
||||||(C) To confirm an appointment|0|radio|0|
||||||(D) To request a refund|0|radio|0|
63|Part 3|Listen to the following conversation.|What is the woman having trouble with?|28_TOEIC_03_Questions_62-64.mp3|NA|(A) A utility|0|radio|0|
||||||(B) A tool|0|radio|0|
||||||(C) A warranty|0|radio|0|
||||||(D) An appliance|1|radio|6|
64|Part 3|Listen to the following conversation.|What does the man promise to do?|28_TOEIC_03_Questions_62-64.mp3|NA|(A) Refund the woman's money|0|radio|0|
||||||(B) Replace the woman's dishwasher|0|radio|0|
||||||(C) Send someone to the woman's home|1|radio|6|
||||||(D) Charge the woman for a warranty|0|radio|0|
65|Part 3|Listen to the following conversation.|What is the purpose of the man's phone call?|29_TOEIC_03_Questions_65-67.mp3|NA|(A) To solicit for charity|1|radio|6|
||||||(B) To promote a business|0|radio|0|
||||||(C) To request an interview|0|radio|0|
||||||(D) To offer an annual gift|0|radio|0|
66|Part 3|Listen to the following conversation.|What does the woman imply?|29_TOEIC_03_Questions_65-67.mp3|NA|(A) She does not like the Mission Shelter's work.|0|radio|0|
||||||(B) She has already donated money to another cause.|0|radio|0|
||||||(C) She does not have as much money as last year.|1|radio|6|
||||||(D) She dislikes phone calls from telemarketers.|0|radio|0|
67|Part 3|Listen to the following conversation.|How does the man convince the woman to donate?|29_TOEIC_03_Questions_65-67.mp3|NA|(A) He reminds her she can get a tax deduction.|1|radio|6|
||||||(B) He makes her feel guilty for neglecting the homeless.|0|radio|0|
||||||(C) He tells that she can wait until next year to help.|0|radio|0|
||||||(D) He asks her for a gift donation.|0|radio|0|
68|Part 3|Listen to the following conversation.|When is this conversation most likely taking place?|30_TOEIC_03_Questions_68-70.mp3|NA|(A) During an employee review|0|radio|0|
||||||(B) During a job interview|1|radio|6|
||||||(C) During a media report|0|radio|0|
||||||(D) During a sales meeting|0|radio|0|
69|Part 3|Listen to the following conversation.|What is the man's current position?|30_TOEIC_03_Questions_68-70.mp3|NA|(A) Salesman|0|radio|0|
||||||(B) Department head|1|radio|6|
||||||(C) Vice president|0|radio|0|
||||||(D) CEO|0|radio|0|
70|Part 3|Listen to the following conversation.|What can be inferred about the man?|30_TOEIC_03_Questions_68-70.mp3|NA|(A) He is inexperienced.|0|radio|0|
||||||(B) He is nervous.|0|radio|0|
||||||(C) He is confident.|1|radio|6|
||||||(D) He is immodest.|0|radio|0|
71|Part 4|Listen to the following annoucement and choose the correct answer.|What is the main purpose of the report?|31_TOEIC_03_Questions_71-73.mp3|NA|(A) To give shopping advice|1|radio|6|
||||||(B) To announce a cereal sale|0|radio|0|
||||||(C) To warn shoppers of fraud|0|radio|0|
||||||(D) To help shoppers save money|0|radio|0|
72|Part 4|Listen to the following annoucement and choose the correct answer.|What does the speaker encourage shoppers to do?|31_TOEIC_03_Questions_71-73.mp3|NA|(A) Buy food in bulk packages|0|radio|0|
||||||(B) Consider food volume|1|radio|6|
||||||(C) Pay the lowest prices|0|radio|0|
||||||(D) Eat more breakfast cereal|0|radio|0|
73|Part 4|Listen to the following annoucement and choose the correct answer.|How often does the speaker give shopping tips?|31_TOEIC_03_Questions_71-73.mp3|NA|(A) Daily|0|radio|0|
||||||(B) Weekly|1|radio|6|
||||||(C) Monthly|0|radio|0|
||||||(D) Annually|0|radio|0|
74|Part 4|Listen to the following annoucement and choose the correct answer.|What position does Denise likely hold?|32_TOEIC_03_Questions_74-76.mp3|NA|(A) Company CEO|0|radio|0|
||||||(B) Newspaper reporter|0|radio|0|
||||||(C) Administrative assistant|1|radio|6|
||||||(D) Bank officer|0|radio|0|
75|Part 4|Listen to the following annoucement and choose the correct answer.|What problem does Clara Belle Warner have?|32_TOEIC_03_Questions_74-76.mp3|NA|(A) She can't contact Jeff Pritchard.|1|radio|6|
||||||(B) She didn't receive financial information.|0|radio|0|
||||||(C) She has missed her story deadline.|0|radio|0|
||||||(D) Denise hasn't returned her call.|0|radio|0|
76|Part 4|Listen to the following annoucement and choose the correct answer.|What can be inferred about Jeff Pritchard?|32_TOEIC_03_Questions_74-76.mp3|NA|(A) He works with Clara Belle Warner.|0|radio|0|
||||||(B) He is an international celebrity.|0|radio|0|
||||||(C) He does not like to read newspapers.|0|radio|0|
||||||(D) He is in a different part of the country.|1|radio|6|
77|Part 4|Listen to the following annoucement and choose the correct answer.|Who is the speaker?|33_TOEIC_03_Questions_77-79.mp3|NA|(A) A businessman|0|radio|0|
||||||(B) An artist|0|radio|0|
||||||(C) A politician|0|radio|0|
||||||(D) A musician|1|radio|6|
78|Part 4|Listen to the following annoucement and choose the correct answer.|What happened when the speaker was 8 years old?|33_TOEIC_03_Questions_77-79.mp3|NA|(A) He became an international star.|0|radio|0|
||||||(B) He saw orphans in a park.|0|radio|0|
||||||(C) His father declared bankruptcy.|1|radio|6|
||||||(D) His family's furniture was stolen.|0|radio|0|
79|Part 4|Listen to the following annoucement and choose the correct answer.|What is true of the speaker's foundation?|33_TOEIC_03_Questions_77-79.mp3|NA|(A) It focuses on orphans.|0|radio|0|
||||||(B) It was founded by his father.|0|radio|0|
||||||(C) It helps keep children healthy.|1|radio|6|
||||||(D) It has helped about 50,000 kids.|0|radio|0|
80|Part 4|Listen to the following annoucement and choose the correct answer.|What is the speaker mainly discussing?|34_TOEIC_03_Questions_80-82.mp3|NA|(A) The structure of the Internet|0|radio|0|
||||||(B) The route of one bit of information|1|radio|6|
||||||(C) How the Internet works|0|radio|0|
||||||(D) The Network Access Point|0|radio|0|
81|Part 4|Listen to the following annoucement and choose the correct answer.|What happens in New York City?|34_TOEIC_03_Questions_80-82.mp3|NA|(A) Government e-mail is processed.|0|radio|0|
||||||(B) Fiber cables are connected by hand.|1|radio|6|
||||||(C) Bits are received via underwater cable.|0|radio|0|
||||||(D) Bits are prepared to cross the Pacific.|0|radio|0|
82|Part 4|Listen to the following annoucement and choose the correct answer.|What is NOT true of the Network Access Point?|34_TOEIC_03_Questions_80-82.mp3|NA|(A) It is located in New York City.|1|radio|6|
||||||(B) It is located at a major data-pipe intersection.|0|radio|0|
||||||(C) It processes the US government's e-mail.|0|radio|0|
||||||(D) It is located in the state of Virginia.|0|radio|0|
83|Part 4|Listen to the following annoucement and choose the correct answer.|Where would this announcement most likely be heard?|35_TOEIC_03_Questions_83-85.mp3|NA|(A) In an airport|1|radio|6|
||||||(B) At a train station|0|radio|0|
||||||(C) In a subway|0|radio|0|
||||||(D) At a bus stop|0|radio|0|
84|Part 4|Listen to the following annoucement and choose the correct answer.|What are passengers for Flight 582 doing?|35_TOEIC_03_Questions_83-85.mp3|NA|(A) Waiting for an arrival|0|radio|0|
||||||(B) Checking in their luggage|0|radio|0|
||||||(C) Getting on the plane|1|radio|6|
||||||(D) Eating at the food court|0|radio|0|
85|Part 4|Listen to the following annoucement and choose the correct answer.|What does the speaker ask listeners to do?|35_TOEIC_03_Questions_83-85.mp3|NA|(A) Eat dinner in the food court|0|radio|0|
||||||(B) Check in their suitcases|0|radio|0|
||||||(C) Get tickets for Eagle Air Flight 644|0|radio|0|
||||||(D) Have their boarding passes ready|1|radio|6|
86|Part 4|Listen to the following annoucement and choose the correct answer.|What will Derek McClaskey talk about?|36_TOEIC_03_Questions_86-88.mp3|NA|(A) His childhood|0|radio|0|
||||||(B) Streets of Salt Lake|0|radio|0|
||||||(C) A new television show|1|radio|6|
||||||(D) His plans for next year|0|radio|0|
87|Part 4|Listen to the following annoucement and choose the correct answer.|What does the speaker remind listeners to do?|36_TOEIC_03_Questions_86-88.mp3|NA|(A) Applaud Derek McClaskey|0|radio|0|
||||||(B) Silence their electrical devices|1|radio|6|
||||||(C) Eat and drink only after the show|0|radio|0|
||||||(D) Save their questions until the end|0|radio|0|
88|Part 4|Listen to the following annoucement and choose the correct answer.|What will happen at the end of Derek's talk?|36_TOEIC_03_Questions_86-88.mp3|NA|(A) Listeners will ask questions|1|radio|6|
||||||(B) Derek will sign autographs|0|radio|0|
||||||(C) Derek will pose for pictures|0|radio|0|
||||||(D) Listeners will see a video clip|0|radio|0|
