DONE	general	sidemenu_trainer_home	Accueil	Home	Home	Inicio		
DONE	general	sidemenu_trainer_calendar	Mon calendrier	My Calendar	Mein Kalender	Mi calendario		
DONE	general	sidemenu_trainer_learners	Mes apprenants	My Learners	Meine Schüler	Mis alumnos		
DONE	general	sidemenu_trainer_programs	Mes parcours	My Learners	Mein Programm	Mi programa		
DONE	general	sidemenu_trainer_lessons	Mes cours	My Lessons	Meine Kurse	Mis lecciones		
DONE	general	sidemenu_trainer_account	Mon compte	My Account	Mein Profil	Mi perfil		
DONE	general	sidemenu_trainer_library	Bibliothèque	Syllabus	Meine Bibliothek	Biblioteca		
DONE	general	sidemenu_trainer_general	Général	General	Generelles	General		
DONE	general	sidemenu_trainer_settings	Réglages	My profile	Einstellungen	Ajustes		
DONE	general	sidemenu_trainer_availabilities	Disponibilités	My calendar	Verfügbarkeit	Disponibilidad		
DONE	general	sidemenu_trainer_awaiting	A lancer	New	Neue Schüler	Nuevos		
DONE	general	sidemenu_trainer_active	En cours	In progress	in Arbeit	En curso		
DONE	general	sidemenu_trainer_inactive	Terminés	Finished	Inaktiv	Terminados		
DONE	general	sidemenu_trainer_anomaly	Anomalie	Anomaly	Anomalie	Anomalia		
DONE	general	sidemenu_learner_home	Accueil	Home	Home	Inicio		
DONE	general	sidemenu_learner_formation	Ma formation	My Training	Mein Training	Mi formación		
DONE	general	sidemenu_learner_eval	Mes tests	My Tests	Meine Tests	Mis tests		
DONE	general	sidemenu_learner_trainers	Mes formateurs	My Trainers	Meine Trainer	Mis formadores		
DONE	general	sidemenu_learner_library	Ma bibliothèque	My Syllabus	Meine Bibliothek	Mi biblioteca		
DONE	general	sidemenu_learner_account	Mon compte	My account	Mein profil	Mi cuenta		
DONE	general	sidemenu_learner_calendar	Mon calendrier	My calendar	Mein Kalender	Mi calendario		
DONE	general	sidemenu_learner_reservation	Réservations	Booking	Buchungen	Reservar		
DONE	general	sidemenu_learner_global	Vue globale	Global view	Übersicht	Vista global		
DONE	general	sidemenu_learner_report	Mes rapports	My reports	Kursübersicht	Mis informes		
DONE	general	sidemenu_learner_tp	Mon parcours	My program	Mein Trainingsprogramm	Mi programa		
DONE	general	sidemenu_learner_materials	Supports	Materials	Material	Materiales		
DONE	general	sidemenu_learner_exercise	Exercices	Exercises	Übungen	Ejercicios		
DONE	general	sidemenu_learner_email_template	Email (modèles)	Email templates	Email Vorlagen	Ejempos de Email		
DONE	general	sidemenu_learner_video	Tutoriels	Tutoriels	Tutoriels	Tutoriales		
DONE	general	sidemenu_learner_signature	Signature	Signature	Signature	Firma		
DONE	general	sidemenu_learner_myeprogram	Mon e-Program	My e-Program	Mein e-Programm	Mi programa en linea		
DONE	general	sidemenu_learner_visio_f2f_tp	Parcours Visio / F2F	Visio / F2F Training	Video / F2F Training	Programa por video conferencia / F2F		
DONE	general	sidemenu_learner_visio_library	Bibliothèque Visio	Visio Library	Video Bibliothek	Biblioteca Visio		
DONE	general	sidemenu_learner_my_trainer	Mon formateur	My trainer	Mein Trainer	Mi formador		
DONE	general	sidemenu_learner_my_trainers	Mes formateurs	My trainers	Meine Trainer	Mis formadores		
DONE	general	sidemenu_learner_wait_signature	Attente signature	Awaiting signature	Kursbestätigung	A la espera de firma		
DONE	general	sidemenu_learner_tests	Tests / Évaluations	Tests	Tests	Evaluaciones		
DONE	general	sidemenu_learner_media_library	Médiathèque	Media Library	Mediathek	Mediateca		
DONE	general	sidemenu_learner_toolbox	Outils	Tools	Tools	Herramientas		
DONE	general	sidemenu_learner_vocab_list	Listes vocabulaire	Vocabulary Lists	Vokabellisten	Listas de vocabulario		
DONE	general	sidemenu_learner_vocab_list_perso	Ma liste	My list	Meine Liste	Mi lista		
DONE	general	sidemenu_learner_activity_report	Rapport d'activité	Activity report	Kursübersicht	Historial de clases		
DONE	general	sidemenu_learner_mock_tests	Examens blancs	Mock Tests	Mock Tests	Exámenes de prueba		
DONE	general	sidemenu_learner_vocab	Vocabulaire	Vocabulary	Vokabular	Vocabulario		
DONE	general	sidemenu_learner_vocab_theme	Thématiques	Thematics	Themen	Temas		
DONE	general	sidemenu_tm_activity	Activité	Activity	Aktivität	Actividad		
DONE	general	sidemenu_tm_orders	Dossiers Formation	Orders	Buchungen	Planes de formación		
DONE	general	sidemenu_tm_reports	Rapports	Reports	Reporting	Informes		
DONE	general	sidemenu_tm_learners	Suivi Apprenants	Follow up Learners	Schüler Übersicht	Seguimiento de estudiantes		
DONE	general	sidemenu_tm_visio_library	Bibliothèque Visio	Visio library	Video Bibliothek	Biblioteca Visio		
DONE	general	sidemenu_tm_opinion	Votre avis	Your Say	Ihre Meinung	Su opinión		
DONE	general	sidemenu_tm_catalog	Catalogue	Catalogue	Katalog	Catálogo		
DONE	general	sidemenu_tm_tutos	Tutoriels	Tutorials	Tutorials	Tutoriales		
DONE	general	sidemenu_tm_trainers	Formateurs	Trainers	Trainer	Formadores		
DONE	general	sidemenu_tm_library	Bibliothèque	Syllabus	Meine Bibliothek	Biblioteca		
DONE	general	card_tm_lrn_activity	Activité apprenant	Learning activity	Aktiver Schüler	Actividad de aprendizaje		
