email_followup;mail_no_next_lesson_title;Vous n'avez aucun cours programm�;You have no scheduled lessons;Sie haben keinen Kurs gebucht.;No tiene clases programadas
email_followup;mail_no_next_lesson_subtitle;;$$get_lesson.trainer_firstname$$ filled your lesson note - Lesson done on $$dateformat(get_lesson.lesson_start,'dd mmm yyyy')$$ - $$timeformat(get_lesson.lesson_start,'HH:mm')$$.;$$get_lesson.trainer_firstname$$ hat Ihre Lesson Note ausgef�llt. Lesson Note erstellt am $$dateformat(get_lesson.lesson_start,'dd mmm yyyy')$$ - $$timeformat(get_lesson.lesson_start,'HH:mm')$$.;$$get_lesson.trainer_firstname$$ Notas de Clase completadas - Clase completada el $$dateformat(get_lesson.lesson_start,'dd mmm yyyy')$$ - $$timeformat(get_lesson.lesson_start,'HH:mm')$$.
email_followup;mail_no_next_lesson_footer;;Click on the link below to access your lesson note.;Bitte folgen Sie nachstehendem Link um zu Ihren Lesson Notes zu gelangen.;Haga click en el enlace para acceder a las Notas de Clase
email_followup;mail_bad_learner_title;"Vous �tes toujours avec nous ? ;)";Your session has timed out. Do you wish to continue?;Ihre Sitzung ist abgelaufen. M�chten Sie fortfahren?;�Sigue con nosotros? :)
email_followup;mail_bad_learner_subtitle;;Lesson initially scheduled on $$dateformat(get_lesson.lesson_start,'dd mmm yyyy')$$ - $$timeformat(get_lesson.lesson_start,'HH:mm')$$ is now cancelled.;Der am $$dateformat(get_lesson.lesson_start,'dd mmm yyyy')$$ - $$timeformat(get_lesson.lesson_start,'HH:mm')$$ gebuchte Kurs ist jetzt storniert.;La clase programada para el $$dateformat(get_lesson.lesson_start,'dd mmm yyyy')$$ - $$timeformat(get_lesson.lesson_start,'HH:mm')$$ ha sido cancelada.
email_followup;mail_bad_learner_footer;;;;
email_lesson_status;mail_reminder_title;Rappel automatique;Reminder;Erinnerung;Aviso autom�tico
email_lesson_status;mail_reminder_subtitle;Vous avez cours le $$dateformat(get_lesson.lesson_start,'dd/mm/yyyy')$$ � $$timeformat(get_lesson.lesson_start,'HH:mm')$$;You have a lesson on $$dateformat(get_lesson.lesson_start,'dd mmm yyyy')$$ - $$timeformat(get_lesson.lesson_start,'HH:mm')$$;Sie haben einen neuen Kurs gebucht am $$dateformat(get_lesson.lesson_start,'dd.mm.yyyy')$$ - $$timeformat(get_lesson.lesson_start,'HH:mm')$$ Uhr.;Tiene una clase programada el $$dateformat(get_lesson.lesson_start,'dd/mm/yyyy')$$ a las $$timeformat(get_lesson.lesson_start,'HH:mm')$$
email_lesson_status;mail_missed_title;Cours manqu�;Missed lesson;Kurs verpasst;Clase perdida
email_lesson_status;mail_missed_subtitle;Cours pr�vu le $$dateformat(get_lesson.lesson_start,'dd/mm/yyyy')$$ � $$timeformat(get_lesson.lesson_start,'HH:mm')$$;Lesson initially scheduled on $$dateformat(get_lesson.lesson_start,'dd mmm yyyy')$$ - $$timeformat(get_lesson.lesson_start,'HH:mm')$$;Der gebuchte Kurs am $$dateformat(get_lesson.lesson_start,'dd.mm.yyyy')$$ - $$timeformat(get_lesson.lesson_start,'HH:mm')$$ Uhr wurde verpasst;Clase programada para el $$dateformat(get_lesson.lesson_start,'dd/mm/yyyy')$$ a las $$timeformat(get_lesson.lesson_start,'HH:mm')$$
email_lesson_status;mail_confirm_title;Confirmation de r�servation;Lesson booked;Kurs gebucht;Reserva confirmada
