N° QUESTION (N° ВОПРОСА)|OBJECTIVE (ЦЕЛЬ)|INSTRUCTIONS (ИНСТРУКЦИИ)|QUESTION (ВОПРОС)|QU TIME (ВРЕМЯ ОТВЕТА)|OPT ANSWER (ВАРИАНТЫ ОТВЕТОВ)|IS CORRECT (ПРАВИЛЬНЫЙ ОТВЕТ)|POINTS (БАЛЛЫ)|
1|грамматика|Выберите правильный ответ|Сегодня по телевизору идёт  _____.|20|интересная передача.|1|1|
|||||интересную передачу.|0|0|
|||||интересной передачей.|0|0|
|||||интересной передачи.|0|0|
2|грамматика|Выберите правильный ответ|Я раньше никогда не встречал  _____.|20|этот человек.|0|0|
|||||с этим человеком.|0|0|
|||||об этом человеке.|0|0|
|||||этого человека.|1|1|
3|грамматика|Выберите правильный ответ|Молодые артисты будут участвовать  _____.|20|новую комедию.|0|0|
|||||с новой комедией.|0|0|
|||||в новой комедии.|1|1|
|||||новая комедия.|0|0|
4|грамматика|Выберите правильный ответ|Мама научила _____ хорошо готовить.|20|старшей дочери|0|0|
|||||старшая дочь|0|0|
|||||со старшей дочерью|0|0|
|||||старшую дочь|1|1|
5|грамматика|Выберите правильный ответ|Марина познакомилась _____ в гостях.|20|с будущим мужем|1|1|
|||||будущего мужа|0|0|
|||||будущему мужу|0|0|
|||||будущий муж|0|0|
6|грамматика|Выберите правильный ответ|На соревнованиях победил  _____.|20|испанский спортсмен.|1|1|
|||||у испанского спортсмена.|0|0|
|||||испанским спортсменом.|0|0|
|||||испанскому спортсмену.|0|0|
7|грамматика|Выберите правильный ответ| _____ находится в центре Москвы.|20|Английское посольство|1|1|
|||||У английского посольства|0|0|
|||||Английскому посольству|0|0|
|||||В английском посольстве|0|0|
8|грамматика|Выберите правильный ответ|Мы слушали новости  _____.|20|большое внимание.|0|0|
|||||большого внимания.|0|0|
|||||с большим вниманием.|1|1|
|||||о большом внимании.|0|0|
9|грамматика|Выберите правильный ответ|Сегодня мне надо поговорить  _____.|20|моя подруга.|0|0|
|||||мою подругу.|0|0|
|||||моей подруге.|0|0|
|||||с моей подругой.|1|1|
10|грамматика|Выберите правильный ответ|Я не знаю _____ звонил Николай.|20|о ком|0|0|
|||||кто|0|0|
|||||кого|0|0|
|||||кому|1|1|
11|грамматика|Выберите правильный ответ|Пабло не объяснил _____ он поехал в Россию.|20|куда|0|0|
|||||где|0|0|
|||||как|0|0|
|||||зачем|1|1|
12|грамматика|Выберите правильный ответ|Я знаю _____ подарку Вы будете рады.|20|какое|0|0|
|||||с каким|0|0|
|||||какому|1|1|
|||||о каком|0|0|
13|чтение|Выберите правильный ответ|Русский музей занимает целый комплекс зданий, соединённых между собой. Главное из них — Михайловский дворец — считается одним из красивейших зданий Петербурга. Этот дворец принадлежал царской семье. Решение превратить Михайловский дворец в музей принял царь Александр III. В 1898 году, уже после его смерти, царская семья выполнила его желание. В Михайловском дворце было открыто 37 залов, и первые посетители музея увидели коллекцию произведений русского искусства, собранную Александром III и его семьёй. Эта история о…|60|Петербурге|0|0|
|||||музее|1|1|
|||||царской семье|0|0|
|||||Александре III|0|0|
14|чтение|Выберите правильный ответ|Русский музей занимает целый комплекс зданий, соединённых между собой. Главное из них — Михайловский дворец — считается одним из красивейших зданий Петербурга. Этот дворец принадлежал царской семье. Решение превратить Михайловский дворец в музей принял царь Александр III. В 1898 году, уже после его смерти, царская семья выполнила его желание. В Михайловском дворце было открыто 37 залов, и первые посетители музея увидели коллекцию произведений русского искусства, собранную Александром III и его семьёй. Русский музей был открыт ... .|60|Александром III|0|0|
|||||царской семьёй|1|1|
|||||городскими властями Петербурга|0|0|
|||||Петром I|0|0|
15|чтение|Выберите правильный ответ|Русский музей занимает целый комплекс зданий, соединённых между собой. Главное из них — Михайловский дворец — считается одним из красивейших зданий Петербурга. Этот дворец принадлежал царской семье. Решение превратить Михайловский дворец в музей принял царь Александр III. В 1898 году, уже после его смерти, царская семья выполнила его желание. В Михайловском дворце было открыто 37 залов, и первые посетители музея увидели коллекцию произведений русского искусства, собранную Александром III и его семьёй. Музей расположен ... .|60|только в Михайловском дворце|0|0|
|||||в большом современном здании|0|0|
|||||в нескольких зданиях|1|1|
|||||в Эрмитаже|0|0|
16|Аудирование| Почему Байкал — необычное озеро?||70|Потому что оно самое холодное|0|0|
|||||Потому что оно самое большое|0|0|
|||||Потому что оно самое глубокое|1|1|
17|Аудирование|Какая особенность реки Ангары?||70|Она берёт начало в водах Байкала|1|1|
|||||Она впадает в Байкал |0|0|
|||||Она самая большая река в Сибири|0|0|
18|Аудирование|Кем работал отец Д.И. Менделеева?||100|директором гимназии|1|1|
|||||служащим гимназии|0|0|
|||||преподавателем гимназии|0|0|
19|Аудирование|Каким ребенком Д.И. Менделеев был в семье?||100|вторым|0|0|
|||||младшим|1|1|
|||||старшим|0|0|
20|Аудирование|Почему семья Менделеевых испытывала серьёзные материальные трудности?||100|Иван Павлович тяжело заболел|0|0|
|||||в семье было много детей|0|0|
|||||Иван Павлович стал пенсионером|1|1|
