N° QUESTION (N° ВОПРОСА)|OBJECTIVE (ЦЕЛЬ)|INSTRUCTIONS (ИНСТРУКЦИИ)|QUESTION (ВОПРОС)|QU TIME (ВРЕМЯ ОТВЕТА)|OPT ANSWER (ВАРИАНТЫ ОТВЕТОВ)|IS CORRECT (ПРАВИЛЬНЫЙ ОТВЕТ)|POINTS (БАЛЛЫ)|
1|грамматика|Выберите правильный ответ|В центре города находится _____ площадь.|20|старый|0|0|
|||||старая|1|1|
|||||старое|0|0|
|||||старые|0|0|
2|грамматика|Выберите правильный ответ|На площади открылось _____ кафе.|20|молодежный|0|0|
|||||молодежная|0|0|
|||||молодежное|1|1|
|||||молодежные|0|0|
3|грамматика|Выберите правильный ответ|Там часто бывают _____ встречи.|20|интересный|0|0|
|||||интересная|0|0|
|||||интересное|0|0|
|||||интересные|1|1|
4|грамматика|Выберите правильный ответ|Вчера там выступала _____ рок-группа.|20|известная|1|1|
|||||известное|0|0|
|||||известные|0|0|
|||||известный|0|0|
5|грамматика|Выберите правильный ответ|У _____ есть друг.|20|я|0|0|
|||||меня|1|1|
|||||мне|0|0|
|||||мной|0|0|
6|грамматика|Выберите правильный ответ| _____ зовут Андрей.|20|Eго|1|1|
|||||Он|0|0|
|||||Ему|0|0|
|||||О нем|0|0|
7|грамматика|Выберите правильный ответ| _____ учится в университете.|20|Он|1|1|
|||||Она|0|0|
|||||Оно|0|0|
|||||Они|0|0|
8|грамматика|Выберите правильный ответ| _____ дружим с ним уже много лет.|20|Я|0|0|
|||||Мы|1|1|
|||||Вы|0|0|
|||||Они|0|0|
9|грамматика|Выберите правильный ответ|Сегодня на улице дождь…|20|Возьми сумку!|0|0|
|||||Не забудь зонт!|1|1|
|||||Дай, пожалуйста, мои очки!|0|0|
|||||Будь здоров!|0|0|
10|грамматика|Выберите правильный ответ|Марат Сафин - известный российский теннисист. Марат родился  _____.|20|в Москву.|0|0|
|||||в Москве.|1|1|
|||||о Москве.|0|0|
|||||из Москвы.|0|0|
11|грамматика|Выберите правильный ответ|Его мама была  _____.|20|теннисисткой.|1|1|
|||||теннисистку.|0|0|
|||||теннисистки.|0|0|
|||||теннисистке.|0|0|
12|грамматика|Выберите правильный ответ|Она сразу увидела, что _____ есть талант, и дала ему первые уроки тенниса.|20|сын|0|0|
|||||к сыну|1|1|
|||||у сына|0|0|
|||||о сыне|0|0|
13|чтение|Выберите правильный ответ|В 14 лет Марат поехал учиться в Испанию, потому что там хорошая теннисная школа .В Испании он много занимался и учил испанский язык. Марат говорит, что ему очень нравится  _____.|40|Испания.|1|1|
|||||Испанию.|0|0|
|||||Испании.|0|0|
|||||об Испании.|0|0|
14|чтение|Выберите правильный ответ|1 мая в праздник в Концертном зале имени П.И. Чайковского в Москве состоится концерт. Немецкий оркестр Kamerata Euro peana и русский оркестр Musica Viva сыграют вместе. Это будет музыка Бетховена..... Это статья …|60|о празднике|0|0|
|||||о концерте|1|1|
|||||о композиторе|0|0|
|||||об оркестре|0|0|
15|чтение|Выберите правильный ответ|Сноуборд появился в России недавно, но сейчас это очень модный вид спорта в нашей стране. Сноуборд – английское слово, по-русски оно значит снежная доска. Каждый год много молодых и не очень молодых людей начинают заниматься сноубордом… Это статья …|60|о спорте|1|1|
|||||об английском языке|0|0|
|||||о спортсмене|0|0|
|||||о стране|0|0|
16|Аудирование|Сколько спален в доме?||50|1|0|0|
|||||2|0|0|
|||||3|1|1|
17|Аудирование|Откуда переехала женщина?||60|Из Франции|0|0|
|||||Из России|1|1|
|||||Из Лиона|0|0|
|||||Из Парижа|0|0|
18|Аудирование|В каком городе она живет?||60|В Лионе|0|0|
|||||В Марселе|0|0|
|||||В Париже|1|1|
|||||В Москве|0|0|
|||||Во Франции|0|0|
19|Аудирование|Сколько лет брату?||70|30|0|0|
|||||32|1|1|
|||||31|0|0|
|||||35|0|0|
20|Аудирование|Какая профессия у человека, который говорит?||70|Доктор|0|0|
|||||Учитель|0|0|
|||||Сестра|0|0|
|||||Менеджер|1|1|
